date;Volume;BS_flow_[m3/d];TS_BS_[gTS/L];VS_BS_[gVS/gTS];PS_flow_[m3/d];TS_PS_[gTS/L];VS_PS_[gVS/gTS];VSR
2016-04-06;120000.0;1909.0666666666664;43.875282871680994;0.8132657307093653;2204.833333333333;79.64;0.7329333333333333;56.47666221619845
2016-04-07;120000.0;1912.5333333333333;43.93947395582055;0.7908283171349293;2226.333333333333;79.97999999999999;0.7317333333333332;56.44294946509954
2016-04-08;120000.0;1922.8666666666663;44.00976717402526;0.7959041133478011;2237.833333333333;80.03666666666666;0.7312666666666666;56.404216502674885
2016-04-09;120000.0;1933.4;43.97471422996588;0.8166325212971288;2239.6666666666665;80.32;0.7316999999999999;56.38419964360105
2016-04-10;120000.0;1947.5333333333333;43.94880808724017;0.822542033002821;2232.333333333333;80.14333333333333;0.7312;56.35896022051622
2016-04-11;120000.0;1957.8;44.01919121078378;0.8104409528636594;2226.333333333333;79.12333333333335;0.7313666666666666;56.334616118345416
2016-04-12;120000.0;1978.5333333333333;44.08423285205943;0.8234610286153964;2231.1666666666665;78.74333333333333;0.7341666666666666;56.2958241416645
2016-04-13;120000.0;1991.6;44.09439612927004;0.8271441301791986;2246.5;78.04666666666667;0.7354333333333333;56.32623472569837
2016-04-14;120000.0;1992.2;44.04660555430845;0.8342443374983444;2252.5;77.85666666666665;0.7367333333333334;56.36321859490251
2016-04-15;120000.0;1997.3333333333333;44.05939280020096;0.8264247592611141;2248.5;78.51333333333332;0.7361666666666667;56.37953193997728
2016-04-16;120000.0;1991.6;43.98880421161236;0.7960199004975124;2264.333333333333;79.55333333333333;0.7337666666666666;56.34792560894656
2016-04-17;120000.0;1992.0666666666664;44.02717157754374;0.7734995577643937;2270.0;82.24333333333334;0.7261666666666666;56.28319920537409
2016-04-18;120000.0;1992.6;44.16539500274059;0.6444376307230696;2266.1666666666665;82.16666666666667;0.7183666666666666;56.22333224504999
2016-04-19;120000.0;1993.4666666666667;44.37695976144029;0.6476837733310175;2265.833333333333;81.81666666666666;0.7146;56.1002144886519
2016-04-20;120000.0;1995.6666666666667;44.54020277236653;0.6741449618521441;2269.0;80.66666666666667;0.7122333333333333;55.99098938091869
2016-04-21;120000.0;2008.8;44.74479133722216;0.6865934308178411;2269.0;80.63666666666667;0.7099999999999999;55.87688774110449
2016-04-22;120000.0;2012.1333333333332;44.76682266856856;0.7297699805068225;2276.5;80.44666666666667;0.7086666666666666;55.81401712924009
2016-04-23;120000.0;2012.4666666666667;44.77132702980216;0.7389554680935745;2279.0;80.47333333333333;0.7071333333333333;55.7412890364013
2016-04-24;120000.0;2008.4666666666667;44.833266444121904;0.7580291131566663;2282.333333333333;81.13000000000001;0.7021999999999999;55.67097040368334
2016-04-25;120000.0;2008.2;44.83833352146619;0.7517452006980804;2309.833333333333;81.21000000000001;0.6991999999999999;55.55760730230922
2016-04-26;120000.0;2004.6666666666667;44.85238252392287;0.7521041702195962;2327.1666666666665;80.87666666666668;0.6975;55.42483795299759
2016-04-27;120000.0;1997.1333333333332;44.83989169239513;0.7664005378603244;2329.0;80.37666666666668;0.6969333333333333;55.27378043472087
2016-04-28;120000.0;1996.8;44.650869461966174;0.7662472662472664;2328.833333333333;79.85;0.6969;55.13726553516766
2016-04-29;120000.0;2007.3333333333333;44.42882764201446;0.7764019868979914;2330.6666666666665;78.96666666666667;0.6959333333333333;55.02180564990904
2016-04-30;120000.0;1999.8;44.318269217912494;0.783745070317732;2328.833333333333;79.02666666666667;0.7012333333333334;54.91164546091756
2016-05-01;120000.0;1979.2666666666669;44.17989968041688;0.7737960097951746;2322.1666666666665;79.07333333333334;0.6993333333333334;54.79874360344642
2016-05-02;120000.0;1965.7333333333331;44.14426317405616;0.7994588497535952;2307.5;79.23;0.6960666666666667;54.67974583448596
2016-05-03;120000.0;1953.4;44.02322694906764;0.8056605532139638;2308.1666666666665;78.69;0.6970333333333334;54.54758340442405
2016-05-04;120000.0;1947.6;43.933892369550186;0.8032914156773708;2317.1666666666665;78.63333333333334;0.6963333333333332;54.39760604780584
2016-05-05;120000.0;1945.6666666666667;43.8411075830414;0.8052901965779307;2307.833333333333;78.46333333333332;0.6971666666666666;54.272315962753694
2016-05-06;120000.0;1933.9333333333332;43.704925598023536;0.801205976015142;2313.5;77.45;0.7033666666666666;54.16902859078751
2016-05-07;120000.0;1933.2;43.59092660027861;0.8118487231500263;2313.1666666666665;76.63000000000001;0.7049000000000001;54.07748814433269
2016-05-08;120000.0;1918.8;43.5479285317127;0.839383330262269;2319.833333333333;76.09;0.7057333333333333;53.9909997825956
