plant,date,VS_PS[%],T_ww[degC],HRT_AD[day],SRT_AS[day],m_PS[%],VSR_[%]
Dig5,2016-03-14,0.7553007587502162,13.763455000000024,26.00565849264008,0.0,1.0,64.14829834950231
Dig5,2016-03-15,0.7583873243131022,13.816371000000029,25.654549188970083,0.0,1.0,64.25739692869703
Dig5,2016-03-16,0.7593133680447154,13.862447666666696,25.789714923838883,0.0,1.0,64.3876704692142
Dig5,2016-03-17,0.7607003959481767,13.902869333333362,26.136747990075108,0.0,1.0,64.5163852552175
Dig5,2016-03-18,0.762130854900106,13.946883000000026,24.680292888101977,0.0,1.0,64.61006782360029
Dig5,2016-03-19,0.7646015542548498,13.990800666666695,23.51386128674487,0.0,1.0,64.66952670002334
Dig5,2016-03-20,0.7671661249334955,14.038409000000028,22.87976480988487,0.0,1.0,64.75991721922757
Dig5,2016-03-21,0.7701275198129489,14.084575666666694,22.27528440421583,0.0,1.0,64.87613829751554
Dig5,2016-03-22,0.7716607348877128,14.115144000000027,21.8342271498456,0.0,1.0,65.01703227404661
Dig5,2016-03-23,0.7736247484456765,14.142569333333364,21.233235733922644,0.0,1.0,65.09305514782115
Dig5,2016-03-24,0.7752417484055878,14.201902666666694,20.740247753591472,0.0,1.0,65.14899021269875
Dig5,2016-03-25,0.7767661961346092,14.224042000000027,20.58070141107048,0.0,1.0,65.15335552208967
Dig5,2016-03-26,0.7780728807261991,14.250989000000027,20.45372356589871,0.0,1.0,65.1903091829378
Dig5,2016-03-27,0.7775711707119395,14.224295000000025,20.419960044819376,0.0,1.0,65.22261809993692
Dig5,2016-03-28,0.7769629983956529,14.23403333333336,20.3043262044696,0.0,1.0,65.26075294788934
Dig5,2016-03-29,0.7760058906033191,14.24231333333336,20.148931675457423,0.0,1.0,65.25681543332847
Dig5,2016-03-30,0.7755360725922945,14.246962000000028,19.789951763559795,0.0,1.0,65.23779475163343
Dig5,2016-03-31,0.774703058908936,14.16759633333336,19.33002018372292,0.0,1.0,65.18842517930295
Dig5,2016-04-01,0.77130667367516,14.123582000000026,18.81693121737623,0.0,1.0,65.08223296510208
Dig5,2016-04-02,0.7704096413207928,14.110861666666692,18.02469772510861,0.0,1.0,64.9445259838166
Dig5,2016-04-03,0.7701294538229704,14.15455566666669,16.717405927831482,0.0,1.0,64.78268784362162
Dig5,2016-04-04,0.7716116578882465,14.230088000000023,16.557670297134507,0.0,1.0,64.65089377026392
Dig5,2016-04-05,0.7728019198352915,14.30143466666669,16.5123091063165,0.0,1.0,64.52692113588022
Dig5,2016-04-06,0.7729686473769924,14.370383333333358,16.838616774353618,0.0,1.0,64.38918234018311
Dig5,2016-04-07,0.7739000007316134,14.44570466666669,16.964012853019998,0.0,1.0,64.24131617981386
Dig5,2016-04-08,0.774087876762869,14.553157333333358,16.8709856460113,0.0,1.0,64.04642973238633
Dig5,2016-04-09,0.7741857072566861,14.621519666666693,16.856545032062392,0.0,1.0,63.86588837060593
Dig5,2016-04-10,0.7746996760361005,14.688224000000028,16.83242589559513,0.0,1.0,63.658611405591046
Dig5,2016-04-11,0.775720666348264,14.738841000000027,16.995891350142486,0.0,1.0,63.46455757108603
Dig5,2016-04-12,0.7746111194517113,14.774627666666694,17.03618819835577,0.0,1.0,63.24504336595149
Dig5,2016-04-13,0.7723863740537292,14.79764233333336,17.10076217904249,0.0,1.0,63.01807650507888
Dig5,2016-04-14,0.7694086896880442,14.847183666666693,17.06716888775229,0.0,1.0,62.75226114968178
Dig5,2016-04-15,0.7685762005033234,14.889084666666692,16.936443167584205,0.0,1.0,62.43277225360138
Dig5,2016-04-16,0.7678966438952348,14.930394000000026,16.928835061499036,0.0,1.0,62.08150198363474
Dig5,2016-04-17,0.7678158673542409,14.96206233333336,16.9458021775801,0.0,1.0,61.73146894102448
Dig5,2016-04-18,0.767436722353607,14.990324666666693,16.882031489874027,0.0,1.0,61.41111862205938
Dig5,2016-04-19,0.766129889077952,15.022213666666692,16.846392503342337,0.0,1.0,61.09499570169864
Dig5,2016-04-20,0.7637249043359452,15.056212666666692,16.728889367839226,0.0,1.0,60.77202306132055
Dig5,2016-04-21,0.7622510024377429,15.09097733333336,16.62279235430675,0.0,1.0,60.443328195043975
Dig5,2016-04-22,0.7600861715537551,15.134714666666692,16.62666509899467,0.0,1.0,60.13208094821679
Dig5,2016-04-23,0.7587165863054341,15.17074633333336,16.38925102113749,0.0,1.0,59.81299521216413
Dig5,2016-04-24,0.7585444152088007,15.211702000000027,16.43319495667829,0.0,1.0,59.49840556143879
Dig5,2016-04-25,0.7582368133828209,15.23794533333336,16.421263102385943,0.0,1.0,59.1494190377795
Dig5,2016-04-26,0.7593379078692782,15.296328333333362,16.44606562811696,0.0,1.0,58.79522888525764
Dig5,2016-04-27,0.7579273921539594,15.338437333333362,16.410297603909907,0.0,1.0,58.46784836936092
Dig5,2016-04-28,0.7566259918188698,15.37732700000003,16.394366059049915,0.0,1.0,58.18272592040639
Dig5,2016-04-29,0.7547951900677868,15.426127333333362,16.268713684060046,0.0,1.0,57.94067460344269
Dig5,2016-04-30,0.7536900136767385,15.54719900000003,16.171990133350683,0.0,1.0,57.70058949514479
Dig5,2016-05-01,0.7568637990204897,15.652112000000027,16.139272153740865,0.0,1.0,57.47139515466835
Dig5,2016-05-02,0.7593437704033784,15.744338666666694,16.2182820690561,0.0,1.0,57.2441031030797
Dig5,2016-05-03,0.7602187200136812,15.817224666666696,16.489038368156635,0.0,1.0,57.02562147157814
Dig5,2016-05-04,0.7599977292491525,15.89675133333336,16.700865018248805,0.0,1.0,56.81015902098518
Dig5,2016-05-05,0.7586171318988929,15.967520000000029,16.834581400303357,0.0,1.0,56.59644443046011
Dig5,2016-05-06,0.758291571622177,16.03525766666669,17.00265289463502,0.0,1.0,56.3803016622667
Dig5,2016-05-07,0.7578103372646726,16.111929666666693,17.160716303852794,0.0,1.0,56.14842951150548
Dig5,2016-05-08,0.7588024584490894,16.198459666666693,17.219928039625014,0.0,1.0,55.91561350254914
Dig5,2016-05-09,0.7611264842885509,16.287845000000026,16.946822943643703,0.0,1.0,55.67516112318872
Dig5,2016-05-10,0.7604409536846664,16.357450666666693,16.729632752350778,0.0,1.0,55.42147257477252
Dig5,2016-05-11,0.757250267617678,16.436905000000028,16.4727186641053,0.0,1.0,55.14054232293248
Dig5,2016-05-12,0.7553753511422096,16.521233000000027,16.202607275048567,0.0,1.0,54.854419567086886
Dig5,2016-05-13,0.7541223319922562,16.608851000000026,15.7959432674771,0.0,1.0,54.56902621604858
Dig5,2016-05-14,0.7531217674530413,16.677936666666692,15.474500871869951,0.0,1.0,54.29449135443514
Dig5,2016-05-15,0.7518233039381678,16.747745000000027,15.325630338184949,0.0,1.0,54.0301699492835
